antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Bacon', 'Banana'})",frozenset({'ShavingFoam'}),0.2413793103448276,0.4051724137931034,0.1336206896551724,0.5535714285714285,1.3662613981762917,1.0,0.035820451843043985,1.332413793103448,0.35337243401759527,0.26050420168067223,0.2494824016563146,0.44167933130699083,"Bacon, Banana",ShavingFoam
"frozenset({'Bacon', 'ShavingFoam'})",frozenset({'Banana'}),0.21551724137931033,0.4482758620689655,0.1336206896551724,0.62,1.383076923076923,1.0,0.03700951248513673,1.4519056261343013,0.3530662885501594,0.25203252032520324,0.31124999999999997,0.4590384615384615,"Bacon, ShavingFoam",Banana
"frozenset({'Banana', 'ShavingFoam'})",frozenset({'Bacon'}),0.21982758620689655,0.43103448275862066,0.1336206896551724,0.6078431372549019,1.4101960784313725,1.0,0.038867419738406656,1.4508620689655172,0.3728390661201212,0.2583333333333333,0.31075460487225187,0.4589215686274509,"Banana, ShavingFoam",Bacon
frozenset({'Bacon'}),"frozenset({'Banana', 'ShavingFoam'})",0.43103448275862066,0.21982758620689655,0.1336206896551724,0.31,1.4101960784313725,1.0,0.038867419738406656,1.1306846576711644,0.5112414467253177,0.2583333333333333,0.11558011049723757,0.4589215686274509,Bacon,"Banana, ShavingFoam"
frozenset({'ShavingFoam'}),"frozenset({'Bacon', 'Banana'})",0.4051724137931034,0.2413793103448276,0.1336206896551724,0.32978723404255317,1.3662613981762917,1.0,0.035820451843043985,1.131910235358511,0.45067788686301996,0.26050420168067223,0.11653771760154735,0.44167933130699083,ShavingFoam,"Bacon, Banana"
"frozenset({'Bacon', 'ShavingFoam'})",frozenset({'Cheese'}),0.21551724137931033,0.44396551724137934,0.1271551724137931,0.59,1.3289320388349513,1.0,0.031472948870392384,1.3561816652649283,0.3155149934810951,0.23886639676113358,0.26263565891472856,0.4382038834951456,"Bacon, ShavingFoam",Cheese
"frozenset({'Bacon', 'Cheese'})",frozenset({'ShavingFoam'}),0.22413793103448276,0.4051724137931034,0.1271551724137931,0.5673076923076923,1.400163666121113,1.0,0.036340665873959566,1.374712643678161,0.36836158192090396,0.25321888412017163,0.2725752508361204,0.4405687397708674,"Bacon, Cheese",ShavingFoam
"frozenset({'ShavingFoam', 'Cheese'})",frozenset({'Bacon'}),0.21336206896551724,0.43103448275862066,0.1271551724137931,0.5959595959595959,1.3826262626262626,1.0,0.03518876337693222,1.4081896551724138,0.35179939633155327,0.24583333333333335,0.2898683807774716,0.445479797979798,"Cheese, ShavingFoam",Bacon
frozenset({'ShavingFoam'}),"frozenset({'Bacon', 'Cheese'})",0.4051724137931034,0.22413793103448276,0.1271551724137931,0.31382978723404253,1.4001636661211128,1.0,0.036340665873959566,1.1307137129109863,0.4804716285924833,0.25321888412017163,0.1156028368794326,0.4405687397708674,ShavingFoam,"Bacon, Cheese"
"frozenset({'Banana', 'ShavingFoam'})",frozenset({'Cheese'}),0.21982758620689655,0.44396551724137934,0.1206896551724138,0.5490196078431373,1.2366266895107558,1.0,0.02309378715814507,1.232946026986507,0.24526440410418318,0.2222222222222222,0.18893448852409186,0.410432134018656,"Banana, ShavingFoam",Cheese
